Amount,Years,ROI,Risk,MonthlyIncome,Savings,MonthlyInvestment,Stocks,Bonds,MutualFunds,RealEstate,Commodities,ESG,EmergencyFund
60965,1,0.06564370426710861,0.030123625466750743,8449,42043,616,12513.72817399417,7415.902615464752,8132.071436711919,7395.76010296423,7980.506635870115,7388.231034994814,10138.800000000001
74538,16,0.07502428981645953,0.09669002854965503,5832,16469,1436,16628.67173584287,9854.506067489665,10806.175791362495,9827.740005158028,10604.771279064997,9817.735121081958,6998.400000000001
158066,12,0.10492266647061205,0.01109390272208347,6579,40105,1074,36973.08821754358,21911.04184155968,24027.035783449348,21851.52873073852,23579.22209641048,21829.283330298415,7894.800000000001
163252,5,0.12145959227000623,0.09728909440368752,8971,36386,2791,37543.20341324384,22248.90428448026,24397.526290684786,22188.47349730426,23942.807435586354,22165.885078700496,10765.2
189182,5,0.11601973767177312,0.013884392075551852,6031,46976,1036,44795.94716645617,26547.03515490458,29110.736414256087,26474.93011049038,28568.17318158865,26447.977972304136,7237.200000000001
148806,27,0.07799338969459428,0.0902028802328264,7164,49051,2125,34520.38154127564,20457.515474149564,22433.13941400752,20401.950321458862,22015.03262116862,20381.180627939822,8596.800000000001
187982,23,0.1454865280663194,0.05749309981776699,5593,12048,2622,44629.90567052412,26448.63541768501,29002.834013979882,26376.797639177574,28462.281856342404,26349.94540229102,6711.6
160989,9,0.12378969166957685,0.09936683165073704,9196,49001,885,36919.56297849312,21879.321641572227,23992.25229913729,21819.894686753632,23545.086903485608,21797.681490558123,11035.2
140982,9,0.10543540525114006,0.016641690826185898,8569,22941,974,32178.96009063237,19069.93910855328,20911.561972390195,19018.142785597636,20521.814200213972,18998.781842612552,10282.800000000001
171626,3,0.11117207462343523,0.05984688559611888,7300,11828,917,40098.62733758838,23763.30308719287,26058.17367049914,23698.75900479226,25572.503821997754,23674.6330779296,8760.0
169176,19,0.09196000624277899,0.09723722820571891,9269,11917,2894,38913.685890936875,23061.081474959246,25288.137086796112,22998.444713667875,24816.819109445652,22975.03172419426,11122.800000000001
181278,16,0.07477309895011575,0.0570788059753134,6818,30618,1438,42617.41577172727,25255.990915857037,27695.013403277466,25187.392507933655,27178.83628611283,25161.75111509175,8181.6
172409,16,0.08559726786512616,0.06664587743217364,7138,42254,1454,40339.269327689195,23905.912670761096,26214.555352038235,23840.98124302052,25725.970876113533,23816.71053037743,8565.6
73419,3,0.1257846110464369,0.07261738200861555,6823,49756,1375,16060.378466402828,9517.723336988158,10436.869266573734,9491.872018378333,10242.347855379665,9482.209056277288,8187.6
100015,20,0.05143934886297559,0.0509086958290996,7042,30128,1262,22543.776925296537,13359.923752395101,14650.11880238838,13323.636540285888,14377.071233159137,13310.07274647497,8450.400000000001
172096,24,0.061607264050691626,0.06648022720756572,4906,10009,1702,40921.64559470829,24251.041286447893,26593.01374114461,24185.172446524844,26097.37559250955,24160.551338664824,5887.200000000001
157059,22,0.05460026420217528,0.06258828807307902,9254,26644,1705,35934.83645546549,21295.751669770034,23352.325786467194,21237.909763469666,22917.087282407778,21216.28904241986,11104.800000000001
160687,24,0.05407288023189702,0.09110422094418902,3760,32422,1163,38451.26130959111,22787.03879043107,24987.62954201739,22725.14636310483,24521.91239669728,22702.011598158333,4512.0
137939,1,0.13554605840110073,0.014090174230731209,9991,19865,524,31009.62812031848,18376.96800542363,20151.669238297945,18327.05387804566,19776.0842771349,18308.3964807794,11989.2
199213,24,0.12036578593800236,0.03528668706330073,9238,12219,2490,46318.14193625081,27449.12029033419,30099.937748698074,27374.56507066027,29538.93787237668,27346.697081679988,11085.6
155878,20,0.09741738290873252,0.09553703356689029,9090,49809,1703,35692.52026285528,21152.149918032927,23194.856121058176,21094.69805192449,22762.55252216555,21073.22312396359,10908.0
112623,11,0.05978341606510015,0.09012374055018248,6445,15287,1209,25824.327501211475,15304.04809789995,16781.991195983108,15262.480402623354,16469.20998480667,15246.942817475458,7734.0
125450,17,0.09916158751168323,0.05100910775071417,9031,44387,2379,28218.38784840022,16722.81939798251,18337.77613045193,16677.398143654627,17995.998342501593,16660.420137009136,10837.2
143426,8,0.09734717707805657,0.06581193380213832,3899,18512,1684,34160.428001755085,20244.199317840234,22199.222881973394,20189.21355832226,21785.47580398295,20168.660436126105,4678.8
167845,4,0.06732018699100152,0.034964306468301946,7455,11342,2724,39121.92713835581,23184.489686317957,25423.463080499572,23121.517732998203,24949.622909702586,23097.979452125892,8946.0
93585,6,0.09338516492379731,0.026930904375138523,5947,29216,784,21284.185743225986,12613.463112396092,13831.570937896875,12579.20338008967,13573.779388616134,12566.397437775257,7136.400000000001
159225,8,0.08985047343973734,0.0517328564445984,4719,37534,562,37807.9736159801,22405.81276224706,24569.587739761053,22344.955792158646,24111.66201917149,22322.20807068167,5662.8
114044,20,0.11158500980522165,0.04180170052234476,3280,24231,1502,27109.277927174375,16065.537167515828,17617.018816151434,16021.901173355189,17288.674436853173,16005.59047895001,3936.0
159556,3,0.11350936508676437,0.0625290500665785,6266,42293,1161,37432.410600121926,22183.246096833747,24325.527358116142,22122.99364544963,23872.15041251279,22100.471886965766,7519.200000000001
52693,16,0.054530400977204456,0.016996117326848637,4887,36614,2703,11529.494063469301,6832.624457829873,7492.464919297681,6814.066201244058,7352.821046005944,6807.129312153144,5864.400000000001
145259,25,0.08746126146264713,0.09769553268995498,6266,46258,1992,33912.39982411281,20097.212521762238,22038.04127159639,20042.625996637016,21627.298281662264,20022.222104229288,7519.200000000001
75939,3,0.11258599157142364,0.09875896700316426,3666,38253,1466,17613.54598262133,10438.163583542058,11446.198302609351,10409.812234911138,11232.865109506927,10399.214786809205,4399.200000000001
68047,25,0.10031362585800876,0.07283455426177707,7188,27988,1348,14629.920145873139,8670.00318092986,9507.283048298588,8646.454375544085,9330.087179696544,8637.652069657792,8625.6
76105,29,0.13564898411883222,0.05824867297097084,3671,41037,1607,17652.938982842457,10461.508716927485,11471.797923078202,10433.093960015007,11257.987606599749,10422.472810537109,4405.200000000001
125766,18,0.1158693631618945,0.0378574854657695,4969,22219,1188,29496.29677557359,17480.135525005742,19168.22781846145,17432.657306024143,18810.972148192755,17414.910426742324,5962.8
196779,14,0.06629344270814297,0.08324155177362538,7156,10235,647,46333.997618839814,27458.516706521823,30110.241595936783,27383.935965014574,29549.04967745654,27356.05843623047,8587.2
94262,18,0.057056874740042986,0.07162580552984914,9777,11908,841,20319.303444059744,12041.653251536804,13204.540234037959,12008.946625826773,12958.435225448811,11996.721219089919,11732.400000000001
175117,2,0.11424192782063156,0.02463552454104022,6122,18567,1586,41306.17051811677,24478.91896970639,26842.898036446182,24412.43118569499,26342.602567256865,24387.578722778824,7346.400000000001
73776,22,0.052651131054162185,0.09198344660444582,8124,46298,2224,15763.896898488567,9342.02202684609,10244.200123020046,9316.647934815339,10053.269661634808,9307.163355195155,9748.800000000001
178376,3,0.10857755812734632,0.08402835186308522,8585,15256,1883,41380.86949478608,24523.187178888504,26891.44131676024,24456.579156923202,26390.24110236913,24431.68175027286,10302.0
187848,16,0.14402302414249574,0.09548199219627317,7699,29019,826,43974.701594346225,26060.347486651906,28577.048326531723,25989.56434638747,28044.431923446034,25963.106322636668,9238.800000000001
142787,29,0.10754741778758789,0.0753147557549524,7777,18162,2292,32857.356795690466,19471.971486867056,21352.419436389395,19419.083194042643,20954.455003273746,19399.314083736714,9332.400000000001
177948,9,0.0888169926206522,0.0652073676342211,6900,15415,2259,41773.32225948906,24755.763070240813,27146.477535681166,24688.5233432705,26640.523979656376,24663.3898116621,8280.0
105016,4,0.11432882184423532,0.0476418732661557,9677,46159,1489,22996.55022158812,13628.246879243847,14944.354440152236,13591.230868198485,14665.822934119766,13577.394656697563,11612.400000000001
190546,1,0.09582528904915166,0.0939455635018612,8524,15951,2762,44395.22187170676,26309.556785541336,28850.324275036706,26238.096761871275,28312.614579911915,26211.38572593204,10228.800000000001
71959,4,0.10456167893159349,0.08794575005503676,9981,31852,2982,14767.894129147637,8751.769510612316,9596.945718990739,8727.998617720386,9418.078725764157,8719.113297764774,11977.2
186602,1,0.14414648087765253,0.014069680309557048,9788,18007,1451,43050.738774159676,25512.78738309673,27976.609228434823,25443.491484076218,27455.18375413388,25417.589376098687,11745.6
169101,14,0.08861026378007743,0.012373027704752682,9376,40523,1222,38863.60753940576,23031.40397414302,25255.593569275083,22968.847820629577,24784.8821350164,22945.46496153016,11251.2
